fecha=2020-03-13, casosComunidad=131, hombres=62, mujeres=69, casosAlicante=57, casosCastellon=7, casosValencia=67
fecha=2020-03-14, casosComunidad=127, hombres=67, mujeres=60, casosAlicante=59, casosCastellon=10, casosValencia=58
fecha=2020-03-15, casosComunidad=105, hombres=62, mujeres=43, casosAlicante=44, casosCastellon=9, casosValencia=52
fecha=2020-03-16, casosComunidad=132, hombres=65, mujeres=67, casosAlicante=64, casosCastellon=9, casosValencia=59
fecha=2020-03-17, casosComunidad=225, hombres=110, mujeres=115, casosAlicante=82, casosCastellon=22, casosValencia=121
fecha=2020-03-18, casosComunidad=235, hombres=123, mujeres=112, casosAlicante=74, casosCastellon=29, casosValencia=132
fecha=2020-03-19, casosComunidad=215, hombres=105, mujeres=110, casosAlicante=76, casosCastellon=27, casosValencia=112
fecha=2020-03-20, casosComunidad=289, hombres=143, mujeres=146, casosAlicante=87, casosCastellon=31, casosValencia=171
fecha=2020-03-21, casosComunidad=291, hombres=139, mujeres=152, casosAlicante=65, casosCastellon=48, casosValencia=178
fecha=2020-03-22, casosComunidad=268, hombres=153, mujeres=115, casosAlicante=82, casosCastellon=26, casosValencia=160
fecha=2020-03-23, casosComunidad=389, hombres=197, mujeres=192, casosAlicante=127, casosCastellon=55, casosValencia=207
fecha=2020-03-24, casosComunidad=530, hombres=283, mujeres=247, casosAlicante=182, casosCastellon=76, casosValencia=272
fecha=2020-03-25, casosComunidad=535, hombres=291, mujeres=244, casosAlicante=191, casosCastellon=51, casosValencia=293
fecha=2020-03-26, casosComunidad=585, hombres=301, mujeres=284, casosAlicante=284, casosCastellon=31, casosValencia=270
fecha=2020-03-27, casosComunidad=658, hombres=318, mujeres=340, casosAlicante=311, casosCastellon=84, casosValencia=263
fecha=2020-03-28, casosComunidad=522, hombres=247, mujeres=275, casosAlicante=220, casosCastellon=61, casosValencia=241
fecha=2020-03-29, casosComunidad=308, hombres=154, mujeres=154, casosAlicante=105, casosCastellon=45, casosValencia=158
fecha=2020-03-30, casosComunidad=402, hombres=209, mujeres=193, casosAlicante=160, casosCastellon=22, casosValencia=220
fecha=2020-03-31, casosComunidad=464, hombres=227, mujeres=237, casosAlicante=190, casosCastellon=64, casosValencia=210
fecha=2021-03-01, casosComunidad=201, hombres=110, mujeres=91, casosAlicante=70, casosCastellon=22, casosValencia=109
fecha=2021-03-02, casosComunidad=263, hombres=130, mujeres=133, casosAlicante=91, casosCastellon=22, casosValencia=150
fecha=2021-03-03, casosComunidad=268, hombres=138, mujeres=130, casosAlicante=104, casosCastellon=17, casosValencia=147
fecha=2021-03-04, casosComunidad=231, hombres=119, mujeres=112, casosAlicante=90, casosCastellon=36, casosValencia=105
fecha=2021-03-05, casosComunidad=223, hombres=94, mujeres=129, casosAlicante=77, casosCastellon=27, casosValencia=119
fecha=2021-03-06, casosComunidad=142, hombres=76, mujeres=66, casosAlicante=42, casosCastellon=24, casosValencia=76
fecha=2021-03-07, casosComunidad=89, hombres=51, mujeres=38, casosAlicante=36, casosCastellon=16, casosValencia=37
fecha=2021-03-08, casosComunidad=135, hombres=56, mujeres=79, casosAlicante=54, casosCastellon=15, casosValencia=66
fecha=2021-03-09, casosComunidad=186, hombres=95, mujeres=91, casosAlicante=40, casosCastellon=24, casosValencia=122
